Job_Title,URL,Job Type,Company,City,State,Minimum Salary,Maximum Salary,Skills
Research Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=4120&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e8c5cc69&cb=1522973068571&jobListingId=2585462849,Part Time, UNC Health Care,Chapel Hill, NC,67000,106000,"java,python"
Systems Engineer - OPIR,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=289998&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c634704d&cb=1522973068572&jobListingId=2710917556,Part Time, Engility Holdings,Chantilly, VA,67000,101000,
Principal Memory Applications Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=287934&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f3a1530d&cb=1522973068574&jobListingId=2709409914,Part Time, Mercury Systems,Phoenix, AZ,81000,113000,
"Manager, Software Engineering",https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=232305&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6b562065&cb=1522973068575&jobListingId=2685353249,Part Time, Mediware,Lenexa, KS,74000,98000,"c#,.net,rest"
Operational Computer Systems Analyst - Entry to Experienced Level,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=255365&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e74ddab8&cb=1522973200039&jobListingId=2652075065,Part Time, NSA,Fort Meade, MD,69000,95000,
Senior Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=4372&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8206b526&cb=1522973200040&jobListingId=2583847353,Part Time, Omron Adept Technologies,San Ramon, CA,111000,168000,
Distributed Systems Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=4120&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_95813891&cb=1522973200042&jobListingId=2628888390,Part Time, UNC Health Care,Chapel Hill, NC,55000,83000,
Software Test Engineer - Automation Framework,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=232305&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_201bc1f3&cb=1522973200043&jobListingId=2685388905,Part Time, Mediware,Lenexa, KS,53000,74000,"java,c#,c++,.net,javascript,rest,soap"
Senior Application Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=314374&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_be5834af&cb=1522973200045&jobListingId=2607466908,Part Time, Airlines Reporting Corporation,Arlington, VA,108000,146000,"java,j2ee,angularjs"
Agile Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=37049&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a8808d2c&cb=1522973200046&jobListingId=2656808330,Part Time, Principal Financial Group,Des Moines, IA,48000,72000,"java,rest"
Senior Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=232305&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3e2695f4&cb=1522973200048&jobListingId=2720321344,Part Time, Mediware,Lenexa, KS,57000,83000,"java,c#,.net,rest"
